"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Actualités (ACTU)";"https://actu.fr/la-depeche-de-tahiti/";"1 fois par jour";"presse locale";"Tahiti / Polynésie française";"non diffusées";"http://www.ladepeche.pf (06/04/2020)"
"Actualités (ACTU)";"https://actu.orange.fr";"1 fois par jour";"portail d'information";"non renseigné";"non diffusées";"http://actu.orange.fr (28/11/2017)"
"Actualités (ACTU)";"https://bofip.impots.gouv.fr/bofip/ext/planClassement/planclassement";"1 fois par jour";"portail d'information";"non renseigné";"non diffusées";"http://bofip.impots.gouv.fr/bofip/ext/planClassement/planclassement (06/04/2020)"
"Actualités (ACTU)";"https://fr.euronews.com";"1 fois par jour";"presse nationale";"non renseigné";"non diffusées";"http://fr.euronews.com (14/09/2018)"
"Actualités (ACTU)";"https://fr.news.yahoo.com";"1 fois par jour";"portail d'information";"non renseigné";"non diffusées";"http://fr.news.yahoo.com (07/04/2014)"
"Actualités (ACTU)";"https://lejournaldemayotte.yt";"1 fois par jour";"presse locale";"Mayotte";"non diffusées";"http://lejournaldemayotte.com (12/06/2018)"
"Actualités (ACTU)";"https://lexpansion.lexpress.fr";"1 fois par jour";"presse nationale";"non renseigné";"non diffusées";"http://www.lexpansion.com (04/09/2012) / http://lexpansion.lexpress.fr (21/11/2017)"
"Actualités (ACTU)";"https://rue89bordeaux.com";"1 fois par jour";"presse locale";"pure player / Gironde / Nouvelle-Aquitaine";"non diffusées";"http://rue89bordeaux.com (22/12/2017)"
"Actualités (ACTU)";"https://twitter.com/afpfr";"1 fois par jour";"presse nationale";"agence de presse";"non diffusées";"https://twitter.com/afpfr?lang=fr (30/07/2019)"
"Actualités (ACTU)";"https://twitter.com/aisnenouvelle";"1 fois par jour";"presse locale";"Hauts-de-France";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/arretsurimages";"1 fois par jour";"presse nationale";"pure player";"non diffusées";"https://twitter.com/arretsurimages?lang=fr (30/07/2019)"
"Actualités (ACTU)";"https://twitter.com/atlantico_fr";"1 fois par jour";"presse nationale";"non renseigné";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/carca_lindep";"1 fois par jour";"presse locale";"Occitanie";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/centre_presse";"1 fois par jour";"presse locale";"Nouvelle-Aquitaine";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/charentelibre";"1 fois par jour";"presse locale";"Nouvelle-Aquitaine";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/Clicanoore";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/corse_matin";"1 fois par jour";"presse locale";"Corse";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/courrierouest";"1 fois par jour";"presse locale";"Pays-de-la-Loire / Nouvelle-Aquitaine";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/courrierpicard";"1 fois par jour";"presse locale";"Hauts-de-France";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/cpaveyron";"1 fois par jour";"presse locale";"Occitanie";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/dnatweets";"1 fois par jour";"presse locale";"Grand-Est";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/dordognelibre";"1 fois par jour";"presse locale";"Nouvelle-Aquitaine";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/faguadeloupe";"1 fois par jour";"presse locale";"Guadeloupe / DOM-TOM";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/famartinique";"1 fois par jour";"presse locale";"Martinique / DOM-TOM";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/franceguyane";"1 fois par jour";"presse locale";"Guyane / DOM-TOM";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/humanite_fr";"1 fois par jour";"presse nationale";"non renseigné";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/jhautemarne";"1 fois par jour";"presse locale";"Grand-Est";"non diffusées";
"Actualités (ACTU)";"https://twitter.com/lacroix";"1 fois par jour";"presse nationale";"non renseigné";"non diffusées";
