"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Actualités (ACTU)";"http://actu.orange.fr";"1 fois par jour";"portail d'information";"non renseigné";;
"Actualités (ACTU)";"http://bofip.impots.gouv.fr/bofip/ext/planClassement/planclassement";"1 fois par jour";"portail d'information";"non renseigné";"moissonnage complexe, rencontre avec le producteur";
"Actualités (ACTU)";"http://fr.euronews.com";"1 fois par jour";"presse nationale";"non renseigné";;
"Actualités (ACTU)";"http://lejournaldemayotte.com";"1 fois par jour";"presse locale";"Mayotte";;
"Actualités (ACTU)";"http://rue89bordeaux.com";"1 fois par jour";"presse locale";"pure player / Gironde / Nouvelle-Aquitaine";;
"Actualités (ACTU)";"http://tempsreel.nouvelobs.com";"1 fois par jour";"presse nationale";"non renseigné";;
"Actualités (ACTU)";"http://tempsreel.nouvelobs.com/rue89/";"1 fois par jour";"presse nationale";"pure player";;"http://www.rue89.com (10/12/2013) / http://rue89.nouvelobs.com (24/01/2017)"
"Actualités (ACTU)";"http://www.20minutes.fr";"1 fois par jour";"presse nationale";"non renseigné";;
"Actualités (ACTU)";"http://www.24matins.fr";"1 fois par jour";"presse nationale";"pure player";;
"Actualités (ACTU)";"http://www.366.fr/unes-du-jour/";"1 fois par jour";"presse locale";"non renseigné";;"http://www.pqr.fr/editeurs/les-unes-du-jour/ (21/07/2015)"
"Actualités (ACTU)";"http://www.arretsurimages.net";"1 fois par jour";"presse nationale";"non renseigné";;
"Actualités (ACTU)";"http://www.atlantico.fr";"1 fois par jour";"presse nationale";"pure player";;
"Actualités (ACTU)";"http://www.bienpublic.com";"1 fois par jour";"presse locale";"Bourgogne-Franche Comté";;
"Actualités (ACTU)";"http://www.centre-presse.fr";"1 fois par jour";"presse locale";"Centre-Val-de-Loire";;
"Actualités (ACTU)";"http://www.centrepresseaveyron.fr";"1 fois par jour";"presse locale";"Midi-Pyrénées / Occitanie";;
"Actualités (ACTU)";"http://www.charentelibre.fr";"1 fois par jour";"presse locale";"Poitou-Charentes / Nouvelle-Aquitaine";;
"Actualités (ACTU)";"http://www.courrierdelouest.fr";"1 fois par jour";"presse locale";"Poitou-Charente / Pays-de-la-Loire / Nouvelle-Aquitaine";;
